지점,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),날씨,전운량(10분위)
112,2016.7.21 21:00,28.9,,2.3,82,,구름조금,5
112,2016.7.21 22:00,28.2,,1,94,,,
112,2016.7.21 23:00,27.4,,1.2,98,,,
112,2016.7.22 0:00,27.5,,2,95,,흐림,9
112,2016.7.22 1:00,27.3,,2,98,,,
112,2016.7.22 2:00,27.1,,2.3,94,,,
112,2016.7.22 3:00,26.9,,2.2,91,,흐림,9
112,2016.7.22 4:00,26.5,,2.3,92,,구름많음,7
112,2016.7.22 5:00,26.1,,1.5,95,,구름조금,3
112,2016.7.22 6:00,25.9,,3.1,94,,흐림,9
112,2016.7.22 7:00,25.9,,3.5,94,,구름많음,8
112,2016.7.22 8:00,26.6,,3.5,92,,구름많음,8
112,2016.7.22 9:00,28.3,,2.6,88,,구름조금,3
112,2016.7.22 10:00,29.4,,4,84,,맑음,1
112,2016.7.22 11:00,30.6,,3.6,76,,구름조금,3
112,2016.7.22 12:00,31.1,,4.5,75,,구름조금,3
112,2016.7.22 13:00,31.7,,3.6,73,,맑음,2
112,2016.7.22 14:00,31.9,,3.6,75,,맑음,2
112,2016.7.22 15:00,31.8,,3.9,77,,맑음,2
112,2016.7.22 16:00,30.8,,4.4,83,,맑음,2
112,2016.7.22 17:00,29.7,,4.8,90,,구름조금,3
112,2016.7.22 18:00,29,,3,93,,맑음,0
112,2016.7.22 19:00,28.5,,3.2,93,,,
112,2016.7.22 20:00,27.6,,1.8,97,,,
112,2016.7.22 21:00,27.6,,1.9,98,,구름많음,7
112,2016.7.22 22:00,27.3,,2,98,,,
112,2016.7.22 23:00,27.4,,0.9,97,,,
112,2016.7.23 0:00,27.1,,1.4,98,,구름많음,7
112,2016.7.23 1:00,27,,1.5,98,,,
112,2016.7.23 2:00,27.1,,3.3,98,,,
112,2016.7.23 3:00,26.6,,4.3,98,,구름많음,7
112,2016.7.23 4:00,26,,3.1,98,,구름많음,7
112,2016.7.23 5:00,25.9,,3.2,98,,구름많음,8
112,2016.7.23 6:00,26,,2,98,,흐림,10
112,2016.7.23 7:00,26.5,,3.4,98,,박무,10
112,2016.7.23 8:00,26.9,,3.3,98,,박무,7
112,2016.7.23 9:00,28,,5.2,91,,구름많음,8
112,2016.7.23 10:00,28.5,,3.6,90,,구름많음,8
112,2016.7.23 11:00,29.5,,3.7,87,,구름많음,7
112,2016.7.23 12:00,29.9,,4.1,86,,구름많음,8
112,2016.7.23 13:00,29.7,,4.6,90,,흐림,9
112,2016.7.23 14:00,29.6,,4.4,90,,흐림,10
112,2016.7.23 15:00,29.3,,2.8,93,,흐림,10
112,2016.7.23 16:00,29.4,,2.8,94,,흐림,10
112,2016.7.23 17:00,28.5,,2.8,98,,흐림,10
112,2016.7.23 18:00,27.6,,2.5,98,,흐림,10
112,2016.7.23 19:00,27,0.2,2.4,98,,비 끝남,10
112,2016.7.23 20:00,26.6,0,2.5,98,,약한비단속,10
112,2016.7.23 21:00,26.7,0,2.6,98,,약한비단속,10
112,2016.7.23 22:00,26.9,0,3,98,,비 끝남,8
112,2016.7.23 23:00,27.1,,2.8,98,,,
112,2016.7.24 0:00,27.1,,3.2,98,,구름많음,8
112,2016.7.24 1:00,26.9,,2.5,98,,,
112,2016.7.24 2:00,26.8,,1.7,98,,,
112,2016.7.24 3:00,26.7,,1.1,98,,흐림,9
112,2016.7.24 4:00,26.6,,2.1,98,,흐림,9
112,2016.7.24 5:00,26.5,0,2.5,98,,비 끝남,8
112,2016.7.24 6:00,26.5,,2.8,98,,흐림,10
112,2016.7.24 7:00,26.6,,3.4,98,,흐림,10
112,2016.7.24 8:00,26.8,,2.6,98,,흐림,10
112,2016.7.24 9:00,26.9,,3.4,98,,흐림,10
112,2016.7.24 10:00,26.7,,2.8,98,,흐림,10
112,2016.7.24 11:00,26.9,,2.8,98,,흐림,10
112,2016.7.24 12:00,27.1,0,2.5,98,,약한비단속,10
112,2016.7.24 13:00,28.9,0,3.6,98,,비 끝남,10
112,2016.7.24 14:00,28.2,,2.9,98,,흐림,10
112,2016.7.24 15:00,27.9,,2.8,98,,흐림,10
112,2016.7.24 16:00,28.1,0,2.5,98,,비 끝남,10
112,2016.7.24 17:00,28.1,,3.4,98,,구름많음,8
112,2016.7.24 18:00,27.6,,2.4,98,,흐림,9
112,2016.7.24 19:00,27.3,,2.1,98,,,
112,2016.7.24 20:00,26.9,,1.8,98,,,
112,2016.7.24 21:00,26.6,,1.7,98,,구름많음,7
112,2016.7.24 22:00,26.7,,1.5,98,,,
112,2016.7.24 23:00,26.5,,1.4,98,,,
112,2016.7.25 0:00,26.4,,1.5,98,,박무,5
112,2016.7.25 1:00,26.3,,1.4,98,,,
112,2016.7.25 2:00,26.2,,2,98,,,
112,2016.7.25 3:00,26.1,,1,98,,박무,7
112,2016.7.25 4:00,25.9,,1.8,98,,박무,8
112,2016.7.25 5:00,25.8,,2.3,98,,박무,6
112,2016.7.25 6:00,25.8,,2.5,98,,박무,7
112,2016.7.25 7:00,26,,1.7,98,,박무,7
112,2016.7.25 8:00,26.3,,2.6,98,,박무,8
112,2016.7.25 9:00,26.9,,2.7,98,,박무,9
112,2016.7.25 10:00,27,,2.4,98,,박무,9
112,2016.7.25 11:00,27.2,,2.8,98,,박무,7
112,2016.7.25 12:00,28.4,,2.8,98,,구름많음,8
112,2016.7.25 13:00,28.6,,3,98,,구름많음,6
112,2016.7.25 14:00,28.8,,2.8,98,,구름조금,4
112,2016.7.25 15:00,29.2,,3.5,98,,맑음,2
112,2016.7.25 16:00,29.6,,2.9,94,,맑음,2
112,2016.7.25 17:00,29.4,,2.8,98,,구름조금,3
112,2016.7.25 18:00,27.9,,2.9,98,,구름조금,3
112,2016.7.25 19:00,27.2,,2,98,,,
112,2016.7.25 20:00,26.6,,1.9,98,,,
112,2016.7.25 21:00,26.1,,0.9,98,,박무,2
112,2016.7.25 22:00,25.8,,1.3,98,,,
112,2016.7.25 23:00,25.5,,1.3,98,,,
112,2016.7.26 0:00,25.4,,1.9,98,,박무,0
112,2016.7.26 1:00,25.4,,1.2,98,,,
112,2016.7.26 2:00,25.4,,1.4,98,,,
112,2016.7.26 3:00,25.4,,2.1,98,,박무,2
112,2016.7.26 4:00,25.3,,3.3,98,,구름많음,7
112,2016.7.26 5:00,25.5,,2.1,98,,박무,8
112,2016.7.26 6:00,25.3,,3.3,98,,박무,8
112,2016.7.26 7:00,25.6,,4.5,98,,박무,10
112,2016.7.26 8:00,26,,3.5,98,,흐림,9
112,2016.7.26 9:00,26.8,,4.5,98,,구름많음,8
112,2016.7.26 10:00,27.6,,4.5,98,,흐림,9
112,2016.7.26 11:00,28.5,,4.3,98,,흐림,9
112,2016.7.26 12:00,28.8,,3.5,98,,구름많음,8
112,2016.7.26 13:00,29.1,,3.2,95,,구름많음,8
112,2016.7.26 14:00,28.8,,4.1,98,,흐림,9
112,2016.7.26 15:00,28.1,,3.8,98,,흐림,9
112,2016.7.26 16:00,27.5,,3.8,98,,흐림,9
112,2016.7.26 17:00,27.5,,2.9,98,,흐림,9
112,2016.7.26 18:00,27.7,,2.1,98,,흐림,9
112,2016.7.26 19:00,27.8,,2.4,98,,,
112,2016.7.26 20:00,27.4,,2.7,97,,,
112,2016.7.26 21:00,27,,2.5,98,,구름많음,8
112,2016.7.26 22:00,26.8,,3.3,98,,,
112,2016.7.26 23:00,26.8,,1.9,98,,,
112,2016.7.27 0:00,26.6,,3.1,98,,구름조금,5
112,2016.7.27 1:00,26.5,,3.1,98,,,
112,2016.7.27 2:00,26.3,,3.5,98,,,
112,2016.7.27 3:00,26.1,,4.2,98,,박무,8
112,2016.7.27 4:00,26.1,,4.7,98,,흐림,9
112,2016.7.27 5:00,26,,4.5,98,,구름많음,8
112,2016.7.27 6:00,26,,4.7,98,,흐림,9
112,2016.7.27 7:00,26.3,,3.8,98,,흐림,9
112,2016.7.27 8:00,27.1,,3.9,98,,구름많음,8
112,2016.7.27 9:00,28,,5.2,98,,흐림,9
112,2016.7.27 10:00,28,,5.9,98,,흐림,10
112,2016.7.27 11:00,27.8,,4.7,98,,흐림,10
112,2016.7.27 12:00,27.4,,6.1,98,,흐림,10
112,2016.7.27 13:00,27.4,,4.7,98,,흐림,10
112,2016.7.27 14:00,27.1,,4.8,98,,흐림,10
112,2016.7.27 15:00,27.2,,5.3,98,,흐림,10
112,2016.7.27 16:00,27.9,,4.9,98,,구름많음,8
112,2016.7.27 17:00,27.4,,5.3,98,,흐림,10
112,2016.7.27 18:00,26.6,,2.8,98,,흐림,10
112,2016.7.27 19:00,26.5,,4.7,98,,,
112,2016.7.27 20:00,26.3,,4.8,98,,,
112,2016.7.27 21:00,26.1,,3.4,98,,흐림,9
112,2016.7.27 22:00,26.4,,4.5,98,,,
112,2016.7.27 23:00,26.5,,4,98,,,
112,2016.7.28 0:00,26.1,1.3,4.5,98,,비 끝남,10
112,2016.7.28 1:00,26.3,,5.4,98,,,
112,2016.7.28 2:00,26.4,,4.1,98,,,
112,2016.7.28 3:00,26.4,,3.3,98,,박무,9
112,2016.7.28 4:00,26.3,0,2.9,98,,비 끝남,10
112,2016.7.28 5:00,25.7,,3.6,98,,박무,10
112,2016.7.28 6:00,25.5,,2.8,98,,안개강해짐,10
112,2016.7.28 7:00,24.9,0,3.1,98,,강한이슬비,10
112,2016.7.28 8:00,24.8,0,1.6,98,,안개엷어짐,10
112,2016.7.28 9:00,24.6,0,2.2,98,,약한이슬비,10
112,2016.7.28 10:00,25.2,0,3.2,98,,이슬비 끝,8
112,2016.7.28 11:00,25.5,,2.9,98,,박무,8
112,2016.7.28 12:00,26.1,,4.2,98,,박무,4
112,2016.7.28 13:00,27.4,,3,95,,박무,1
112,2016.7.28 14:00,27.8,,3.1,93,,박무,3
112,2016.7.28 15:00,27.9,,3.4,93,,박무,5
112,2016.7.28 16:00,27.6,,4,96,,박무,4
112,2016.7.28 17:00,27.7,,3,96,,박무,1
112,2016.7.28 18:00,27.5,,2.5,98,,박무,1
112,2016.7.28 19:00,26.8,,2,98,,,
112,2016.7.28 20:00,26.2,,1.5,98,,,
112,2016.7.28 21:00,26,,0.9,98,,박무,8
112,2016.7.28 22:00,26.1,,0.8,98,,,
112,2016.7.28 23:00,26.1,,1.1,98,,,
112,2016.7.29 0:00,25.6,,1.2,98,,박무,8
112,2016.7.29 1:00,25.5,,1.3,98,,,
112,2016.7.29 2:00,25.1,,1.2,96,,,
112,2016.7.29 3:00,24.5,0,2.4,98,,비 끝남,10
112,2016.7.29 4:00,24.1,,2,96,,박무,3
112,2016.7.29 5:00,24.6,,2.4,95,,박무,7
112,2016.7.29 6:00,23.5,17.8,4.3,98,,강한비단속,10
112,2016.7.29 7:00,24,6.8,0.7,98,,뇌우,10
112,2016.7.29 8:00,24.2,2.2,2.9,98,,뇌우,10
112,2016.7.29 9:00,24.3,1.6,2.5,98,,"뇌우끝,비",10
112,2016.7.29 10:00,24.7,0,2.9,98,,비 끝남,10
112,2016.7.29 11:00,25,,4.3,98,,박무,10
112,2016.7.29 12:00,24.7,0.6,4.2,98,,뇌우,10
112,2016.7.29 13:00,24.9,0.7,5.8,98,,뇌전 끝,10
112,2016.7.29 14:00,25.7,,4.4,98,,구름많음,8
112,2016.7.29 15:00,27,,4.1,98,,구름많음,8
112,2016.7.29 16:00,27.7,,3.7,98,,흐림,9
112,2016.7.29 17:00,27.5,,2.4,98,,흐림,10
112,2016.7.29 18:00,27.2,,2.6,98,,흐림,10
112,2016.7.29 19:00,27.4,,3.1,98,,,
112,2016.7.29 20:00,27.3,,1.6,98,,,
112,2016.7.29 21:00,27.1,0.1,1.9,98,,비 끝남,10
112,2016.7.29 22:00,26.8,0,1.6,98,,약한비단속,10
112,2016.7.29 23:00,26.5,0.5,0.9,98,,약한비단속,10
112,2016.7.30 0:00,26.5,0,2,98,,비 끝남,10
112,2016.7.30 1:00,26.4,0,2.1,98,,약한비단속,10
112,2016.7.30 2:00,26.2,0.6,2.9,98,,약한비단속,10
112,2016.7.30 3:00,26,0,3.4,98,,비 끝남,10
112,2016.7.30 4:00,26,,3.4,98,,박무,10
112,2016.7.30 5:00,25.9,,2.7,98,,박무,10
112,2016.7.30 6:00,25.9,,3.4,98,,박무,10
112,2016.7.30 7:00,25.8,,2.9,98,,박무,10
112,2016.7.30 8:00,25.4,0.2,3.3,98,,약한비단속,10
112,2016.7.30 9:00,25.3,1.5,2.7,98,,약한비단속,10
112,2016.7.30 10:00,24.7,0.8,1.4,98,,약한비단속,10
112,2016.7.30 11:00,25.5,0.2,1.7,98,,비 끝남,8
112,2016.7.30 12:00,25.8,,2.3,98,,구름많음,7
112,2016.7.30 13:00,27.8,,0.5,82,,구름조금,4
112,2016.7.30 14:00,28.8,,2.9,77,,맑음,2
112,2016.7.30 15:00,29.3,,2.7,74,,맑음,2
112,2016.7.30 16:00,30.2,,2.8,68,,맑음,2
112,2016.7.30 17:00,30.1,,2.4,85,,구름조금,3
112,2016.7.30 18:00,29.6,,2.4,92,,맑음,2
112,2016.7.30 19:00,28.6,,2.9,98,,,
112,2016.7.30 20:00,27.9,,2,98,,,
112,2016.7.30 21:00,27.3,,2,98,,박무,0
112,2016.7.30 22:00,26.8,,2,98,,,
112,2016.7.30 23:00,26.8,,0.6,98,,,
112,2016.7.31 0:00,26.8,,1.5,98,,박무,7
112,2016.7.31 1:00,26.7,,2,98,,,
112,2016.7.31 2:00,26.6,,1,98,,,
112,2016.7.31 3:00,26.4,,2,98,,박무,7
112,2016.7.31 4:00,26.2,,1.1,98,,박무,7
112,2016.7.31 5:00,26.2,,1.2,98,,박무,7
112,2016.7.31 6:00,26.1,,1,98,,박무,8
112,2016.7.31 7:00,26.3,,0.3,98,,박무,9
112,2016.7.31 8:00,26.7,,1.6,98,,박무,7
112,2016.7.31 9:00,26.7,,2.3,98,,박무,7
112,2016.7.31 10:00,28,,2.4,98,,박무,2
112,2016.7.31 11:00,29.2,,2.3,98,,맑음,2
112,2016.7.31 12:00,29.5,,3.3,98,,구름조금,3
112,2016.7.31 13:00,29.8,,3.6,93,,구름조금,4
112,2016.7.31 14:00,30.4,,2.7,86,,구름많음,6
112,2016.7.31 15:00,30.3,,4.1,90,,구름조금,3
112,2016.7.31 16:00,30.2,,3.7,94,,구름조금,5
112,2016.7.31 17:00,28.8,,4.1,98,,구름많음,8
112,2016.7.31 18:00,29,,2.2,98,,구름조금,5
112,2016.7.31 19:00,28.1,,2.9,98,,,
112,2016.7.31 20:00,27.4,,2.3,98,,,
112,2016.7.31 21:00,26.9,,1.7,98,,박무,5
112,2016.7.31 22:00,26.7,,1.4,98,,,
112,2016.7.31 23:00,26.8,,1.7,98,,,
112,2016.8.1 0:00,26.3,,2,98,,박무,2
112,2016.8.1 1:00,26.1,,1.3,98,,,
112,2016.8.1 2:00,25.9,,0.2,98,,,
112,2016.8.1 3:00,25.3,,2,98,,안개강해짐,10
112,2016.8.1 4:00,25.1,,1.9,98,,안개변화무,10
112,2016.8.1 5:00,25,,1.6,98,,안개변화무,10
112,2016.8.1 6:00,25.2,,0.1,98,,안개 끝,7
112,2016.8.1 7:00,25.5,,0.2,98,,박무,8
112,2016.8.1 8:00,26.1,,1.2,98,,박무,9
112,2016.8.1 9:00,26.9,,1.3,98,,박무,8
112,2016.8.1 10:00,27.6,,2.1,98,,구름많음,8
112,2016.8.1 11:00,28.8,0,2.8,98,,소나기 끝,8
112,2016.8.1 12:00,29.2,,2.5,98,,구름많음,8
112,2016.8.1 13:00,29.1,,2.8,98,,흐림,9
112,2016.8.1 14:00,28.7,,3.2,98,,흐림,9
112,2016.8.1 15:00,28.2,,3.2,98,,구름많음,8
112,2016.8.1 16:00,28.7,,3.1,92,,구름많음,7
112,2016.8.1 17:00,28.7,,2.8,93,,구름많음,7
112,2016.8.1 18:00,28.3,,2.8,98,,구름많음,7
112,2016.8.1 19:00,27.5,,2.4,98,,,
112,2016.8.1 20:00,26.6,,2.5,98,,,
112,2016.8.1 21:00,26.5,,1.8,98,,박무,5
112,2016.8.1 22:00,26.2,,2,98,,,
112,2016.8.1 23:00,25.8,,2.1,98,,,
112,2016.8.2 0:00,25.7,,1.9,98,,박무,8
112,2016.8.2 1:00,25.9,,0.8,98,,,
112,2016.8.2 2:00,25.5,,2,98,,,
112,2016.8.2 3:00,25.4,,0.6,98,,박무,9
112,2016.8.2 4:00,25.4,,0.8,98,,박무,9
112,2016.8.2 5:00,25.1,,1.3,98,,박무,9
112,2016.8.2 6:00,25.1,,1.8,98,,박무,9
112,2016.8.2 7:00,25.3,,1.3,98,,박무,9
112,2016.8.2 8:00,26.1,,0.2,98,,박무,8
112,2016.8.2 9:00,26.8,,1.6,98,,박무,9
112,2016.8.2 10:00,27.5,,1.9,98,,흐림,9
112,2016.8.2 11:00,28.3,,0.9,94,,흐림,9
112,2016.8.2 12:00,28.5,,1.9,97,,흐림,10
112,2016.8.2 13:00,29,,2.5,98,,구름많음,8
112,2016.8.2 14:00,29.4,,2.7,98,,구름많음,8
112,2016.8.2 15:00,29,,2.7,98,,흐림,9
112,2016.8.2 16:00,29.3,,2.6,98,,구름많음,8
112,2016.8.2 17:00,28.7,,2.6,98,,흐림,10
112,2016.8.2 18:00,27.7,,3.4,98,,흐림,10
112,2016.8.2 19:00,26.3,,1.8,98,,뇌전 끝,10
112,2016.8.2 20:00,26.4,,0,98,,,
112,2016.8.2 21:00,26.4,,0.3,98,,구름많음,7
112,2016.8.2 22:00,26.1,,2,98,,,
112,2016.8.2 23:00,26.1,,1.8,98,,,
112,2016.8.3 0:00,26,,0.6,98,,구름많음,7
112,2016.8.3 1:00,26,,1.6,96,,,
112,2016.8.3 2:00,25.7,,0.6,96,,,
112,2016.8.3 3:00,25.5,,1.6,98,,구름많음,7
112,2016.8.3 4:00,25.6,,0,98,,구름많음,7
112,2016.8.3 5:00,25.4,,1.1,98,,구름많음,6
112,2016.8.3 6:00,25.2,,1,98,,구름많음,6
112,2016.8.3 7:00,25.9,,0.7,98,,구름많음,8
112,2016.8.3 8:00,26.8,,1.6,91,,구름많음,6
112,2016.8.3 9:00,27.9,,0.8,95,,구름많음,7
112,2016.8.3 10:00,28.5,,1.9,89,,구름조금,5
112,2016.8.3 11:00,29.6,,2.5,85,,구름많음,7
112,2016.8.3 12:00,29.8,,2.5,86,,구름많음,8
112,2016.8.3 13:00,30.5,,2.4,78,,구름많음,8
112,2016.8.3 14:00,31.2,,3.2,79,,구름많음,8
112,2016.8.3 15:00,31.9,,3.3,76,,구름많음,8
112,2016.8.3 16:00,31.7,,2.6,78,,구름조금,3
112,2016.8.3 17:00,31.5,,1.9,89,,구름조금,4
112,2016.8.3 18:00,30.5,,3.2,82,,구름조금,3
112,2016.8.3 19:00,29.2,,2.7,87,,,
112,2016.8.3 20:00,28.4,,1.5,90,,,
112,2016.8.3 21:00,27.6,,1.8,86,,맑음,0
112,2016.8.3 22:00,27.1,,1.1,94,,,
112,2016.8.3 23:00,27,,2,91,,,
112,2016.8.4 0:00,26.8,,0.3,91,,맑음,0
112,2016.8.4 1:00,26.6,,0.3,94,,,
112,2016.8.4 2:00,26.6,,0,98,,,
112,2016.8.4 3:00,26.3,,0.9,98,,맑음,0
112,2016.8.4 4:00,26.1,,1.1,98,,박무,0
112,2016.8.4 5:00,26,,0.5,98,,박무,0
112,2016.8.4 6:00,25.9,,1.2,98,,박무,0
112,2016.8.4 7:00,26.4,,0.1,98,,박무,1
112,2016.8.4 8:00,27.1,,0.9,98,,박무,3
112,2016.8.4 9:00,28.5,,0.6,98,,박무,3
112,2016.8.4 10:00,29.2,,2.2,98,,박무,4
112,2016.8.4 11:00,30,,2.3,93,,박무,5
112,2016.8.4 12:00,30.5,,2.3,92,,박무,7
112,2016.8.4 13:00,31.4,,2.6,88,,박무,8
112,2016.8.4 14:00,32.6,,3.1,79,,구름많음,8
112,2016.8.4 15:00,32.8,,3.8,80,,구름많음,6
112,2016.8.4 16:00,32.8,,3.5,78,,구름많음,8
112,2016.8.4 17:00,32.6,,3.2,76,,구름조금,3
112,2016.8.4 18:00,31.9,,3.3,83,,맑음,1
112,2016.8.4 19:00,30.7,,2.8,94,,,
112,2016.8.4 20:00,29.1,,2.6,98,,,
112,2016.8.4 21:00,28.5,,2.3,98,,맑음,1
112,2016.8.4 22:00,28.2,,2.4,98,,,
112,2016.8.4 23:00,28,,1.9,98,,,
112,2016.8.5 0:00,27.6,,1.8,98,,맑음,0
112,2016.8.5 1:00,27.4,,1.7,98,,,
112,2016.8.5 2:00,27.2,,1.5,98,,,
112,2016.8.5 3:00,26.9,,1.9,98,,맑음,1
112,2016.8.5 4:00,27,,1.5,98,,맑음,0
112,2016.8.5 5:00,26.9,,0.4,98,,박무,0
112,2016.8.5 6:00,26.6,,0,98,,박무,0
112,2016.8.5 7:00,27.1,,0.1,98,,박무,0
112,2016.8.5 8:00,28,,0.5,98,,박무,0
112,2016.8.5 9:00,29.2,,1.3,98,,박무,0
112,2016.8.5 10:00,30.4,,2.3,95,,박무,1
112,2016.8.5 11:00,31.2,,2.6,90,,박무,2
112,2016.8.5 12:00,31.1,,3,91,,박무,2
112,2016.8.5 13:00,32.1,,3,80,,구름조금,3
112,2016.8.5 14:00,33,,2.8,79,,맑음,2
112,2016.8.5 15:00,32.9,,3.4,84,,맑음,2
112,2016.8.5 16:00,33,,3.9,82,,맑음,1
112,2016.8.5 17:00,32.7,,3.6,83,,맑음,0
112,2016.8.5 18:00,32.1,,2.6,89,,맑음,0
112,2016.8.5 19:00,31.2,,1.5,89,,,
112,2016.8.5 20:00,29.4,,2.1,87,,,
112,2016.8.5 21:00,28.7,,2.2,90,,맑음,0
112,2016.8.5 22:00,28.3,,2.7,98,,,
112,2016.8.5 23:00,28.1,,2.1,98,,,
112,2016.8.6 0:00,28,,0.6,98,,맑음,0
112,2016.8.6 1:00,28,,0,98,,,
112,2016.8.6 2:00,27.8,,0,98,,,
112,2016.8.6 3:00,27.4,,1.1,98,,박무,0
112,2016.8.6 4:00,27,,1.6,98,,박무,0
112,2016.8.6 5:00,26.6,,1.3,98,,박무,0
112,2016.8.6 6:00,26.3,,1.2,98,,박무,0
112,2016.8.6 7:00,26.7,,1.6,98,,박무,0
112,2016.8.6 8:00,27.5,,1.9,98,,박무,0
112,2016.8.6 9:00,28.1,,2.4,97,,박무,0
112,2016.8.6 10:00,29.2,,2,98,,박무,0
112,2016.8.6 11:00,29.8,,3.6,97,,박무,0
112,2016.8.6 12:00,30.1,,3.6,93,,박무,0
112,2016.8.6 13:00,31.5,,3.2,89,,박무,0
112,2016.8.6 14:00,32.4,,3.2,93,,맑음,2
112,2016.8.6 15:00,33.4,,2.6,75,,맑음,2
112,2016.8.6 16:00,32.4,,3.7,82,,맑음,0
112,2016.8.6 17:00,32.6,,2.6,88,,맑음,1
112,2016.8.6 18:00,31.8,,2.6,83,,맑음,2
112,2016.8.6 19:00,30.7,,1.4,82,,,
112,2016.8.6 20:00,29,,2.6,83,,,
112,2016.8.6 21:00,28.6,,0.5,86,,구름조금,3
112,2016.8.6 22:00,28,,0,86,,,
112,2016.8.6 23:00,27.9,,1.2,81,,,
112,2016.8.7 0:00,27.6,,0.8,89,,구름조금,3
112,2016.8.7 1:00,27.1,,2.2,96,,,
112,2016.8.7 2:00,26.6,,1.6,98,,,
112,2016.8.7 3:00,26.5,,1.7,98,,구름많음,8
112,2016.8.7 4:00,26.3,,1,98,,구름많음,7
112,2016.8.7 5:00,26.1,,1.7,98,,맑음,2
112,2016.8.7 6:00,25.8,,1.6,98,,맑음,0
112,2016.8.7 7:00,25.9,,3,98,,박무,0
112,2016.8.7 8:00,26.7,,2.3,98,,맑음,0
112,2016.8.7 9:00,27.9,,2,93,,맑음,0
112,2016.8.7 10:00,29.2,,1.8,77,,맑음,0
112,2016.8.7 11:00,30.2,,2.6,54,,맑음,0
112,2016.8.7 12:00,30.7,,3.1,66,,맑음,1
112,2016.8.7 13:00,31.9,,2.8,60,,맑음,0
112,2016.8.7 14:00,32.2,,4,57,,맑음,1
112,2016.8.7 15:00,32.3,,3.7,55,,맑음,1
112,2016.8.7 16:00,32.6,,3.1,57,,맑음,0
112,2016.8.7 17:00,31.3,,4.4,69,,맑음,0
112,2016.8.7 18:00,31.2,,2.5,66,,맑음,1
112,2016.8.7 19:00,29.7,,2.9,78,,,
112,2016.8.7 20:00,28.4,,2.4,88,,,
112,2016.8.7 21:00,27.8,,2.7,95,,맑음,0
112,2016.8.7 22:00,27.5,,3,95,,,
112,2016.8.7 23:00,27.5,,1.5,95,,,
112,2016.8.8 0:00,27.2,,2.8,98,,맑음,0
112,2016.8.8 1:00,26.7,,2.2,98,,,
112,2016.8.8 2:00,26.4,,1,98,,,
112,2016.8.8 3:00,26.3,,0.5,98,,박무,1
112,2016.8.8 4:00,26.3,,1,98,,박무,1
112,2016.8.8 5:00,26.1,,1.6,98,,박무,3
112,2016.8.8 6:00,26.1,,1.8,98,,박무,3
112,2016.8.8 7:00,26.6,,0,98,,박무,4
